exp_loss_type,recall@20,mrr
TOP1-max,0.06907,0.014990000054240228
TOP1,0.04225,0.00913000013679266
BPR,0.0038,0.0005799999926239253
CrossEntropy,0.008790000000000001,0.0018400000408291817
BPR-max,0.02264,0.005249999929219484
